quarter,gdp_yoy,cpi_yoy,wibor_3m
2000-Q1,6.4,10.299999999999999,17.82
2000-Q2,5.5,10.1,18.493333333333336
2000-Q3,3.8,10.833333333333334,19.063333333333333
2000-Q4,4.2,9.1,19.7
2001-Q1,3.1,6.666666666666667,18.523333333333337
2001-Q2,1.5,6.6000000000000005,17.08666666666667
2001-Q3,1.7,4.6000000000000005,15.356666666666667
2001-Q4,-0.3,3.533333333333333,13.39
2002-Q1,0.8,3.5666666666666664,10.636666666666667
2002-Q2,1.7,1.9000000000000001,9.793333333333335
2002-Q3,2.2,1.3333333333333333,8.496666666666668
2002-Q4,2.8,1.0333333333333334,7.023333333333333
2003-Q1,2.6,0.3333333333333333,6.366666666666667
2003-Q2,3.5,0.39999999999999997,5.553333333333334
2003-Q3,3.9,0.7333333333333334,5.2
2003-Q4,4.2,1.4333333333333333,5.596666666666667
2004-Q1,6.1,1.8333333333333333,5.44
2004-Q2,5.4,3.4,5.863333333333333
2004-Q3,3.9,4.766666666666667,6.6866666666666665
2004-Q4,4.1,4.533333333333333,6.806666666666666
2005-Q1,2.5,3.6,6.44
2005-Q2,1.9,2.2666666666666666,5.493333333333333
2005-Q3,3.9,1.7333333333333334,4.62
2005-Q4,4.8,1.1333333333333335,4.603333333333333
2006-Q1,5.7,0.9333333333333332,4.29
2006-Q2,7.8,1.3666666666666665,4.153333333333333
2006-Q3,7.6,1.5,4.196666666666666
2006-Q4,4.2,1.2333333333333334,4.203333333333333
2007-Q1,6.9,2.0,4.206666666666667
2007-Q2,5.7,2.3000000000000003,4.423333333333333
2007-Q3,5.8,2.4,4.926666666666667
2007-Q4,8.7,3.766666666666667,5.386666666666667
2008-Q1,6.1,4.433333333333334,5.803333333333334
2008-Q2,5.3,4.3,6.426666666666667
2008-Q3,3.5,4.366666666666666,6.566666666666666
2008-Q4,2.3,3.5666666666666664,6.640000000000001
2009-Q1,1.9,3.6333333333333333,4.826666666666667
2009-Q2,1.6,4.3,4.44
2009-Q3,2.3,4.3,4.2
2009-Q4,3.9,3.8666666666666667,4.2
2010-Q1,2.3,3.4,4.18
2010-Q2,3.6,2.4,3.8000000000000003
2010-Q3,4.1,2.1,3.8266666666666667
2010-Q4,3.1,2.733333333333333,3.8699999999999997
2011-Q1,5.4,3.6333333333333333,4.1000000000000005
2011-Q2,5.2,4.033333333333333,4.426666666666667
2011-Q3,5.2,3.6666666666666665,4.723333333333334
2011-Q4,5.4,4.266666666666667,4.906666666666667
2012-Q1,3.5,4.133333333333333,4.97
2012-Q2,2.2,3.966666666666667,5.036666666666666
2012-Q3,1.0,3.9666666666666663,5.0633333333333335
2012-Q4,-0.1,2.733333333333333,4.566666666666666
2013-Q1,-0.4,1.2666666666666666,3.77
2013-Q2,0.4,0.5333333333333333,2.9466666666666668
2013-Q3,1.1,0.8666666666666667,2.6966666666666668
2013-Q4,1.8,0.6,2.6633333333333336
2014-Q1,3.4,0.6333333333333333,2.706666666666667
2014-Q2,3.8,0.3,2.7100000000000004
2014-Q3,3.9,-0.16666666666666666,2.5933333333333333
2014-Q4,4.1,-0.4333333333333333,2.0533333333333332
2015-Q1,4.5,-1.2,1.873333333333333
2015-Q2,3.9,-0.6333333333333333,1.6733333333333331
2015-Q3,4.4,-0.4666666666666666,1.72
2015-Q4,4.4,-0.5,1.7266666666666666
2016-Q1,2.5,-0.3,1.6900000000000002
2016-Q2,3.5,-0.43333333333333335,1.6766666666666665
2016-Q3,2.8,-0.43333333333333335,1.71
2016-Q4,4.0,0.4000000000000001,1.7266666666666666
2017-Q1,5.3,1.7,1.7299999999999998
2017-Q2,4.9,1.5333333333333332,1.7299999999999998
2017-Q3,5.8,1.4666666666666668,1.7299999999999998
2017-Q4,5.2,1.7666666666666666,1.7266666666666666
2018-Q1,6.0,1.0,1.7166666666666668
2018-Q2,6.5,1.1666666666666667,1.7
2018-Q3,6.3,1.4333333333333333,1.7066666666666668
2018-Q4,5.8,1.1666666666666667,1.72
2019-Q1,5.3,1.2,1.72
2019-Q2,4.7,2.1999999999999997,1.72
2019-Q3,4.2,2.5,1.72
2019-Q4,4.0,2.5666666666666664,1.71
2020-Q1,2.9,3.933333333333333,1.6233333333333333
2020-Q2,-7.1,3.3666666666666667,0.5866666666666667
2020-Q3,-1.8,3.733333333333333,0.23666666666666666
2020-Q4,-2.4,3.6333333333333333,0.21666666666666667
2021-Q1,-0.5,3.866666666666667,0.21
2021-Q2,12.0,4.6,0.21
2021-Q3,7.3,5.1000000000000005,0.21999999999999997
2021-Q4,9.2,7.266666666666667,1.5099999999999998
2022-Q1,10.2,9.0,3.4633333333333334
2022-Q2,6.3,12.799999999999999,6.25
2022-Q3,4.8,14.9,7.076666666666667
2022-Q4,1.1,15.933333333333332,7.293333333333333
2023-Q1,-1.2,16.099999999999998,6.933333333333334
2023-Q2,-0.7,12.5,6.900000000000001
2023-Q3,0.7,9.166666666666666,6.496666666666667
2023-Q4,1.9,6.266666666666667,5.766666666666666
